ID,item_cnt_month
0,11.039502230779492
1,11.108939649116083
2,11.238003835783376
3,11.247382649386187
4,11.11605648154517
5,11.13856011805031
6,11.143662195813159
7,11.089491145302079
8,11.152872954873281
9,11.157568366529063
10,11.253873907036729
11,11.154262563816285
12,11.20447523221321
13,11.107722312582565
14,11.112242901775451
15,11.139318866133804
16,11.100001162250111
17,11.118337401502092
18,11.11164534003533
19,11.21395978084259
20,11.043529362707359
21,11.093841077111808
22,11.06996473972329
23,11.119323329080014
24,11.188156670491765
25,11.141869462493856
26,11.069282995182078
27,11.146079142002694
28,11.286177868958333
29,11.083671957415639
30,11.201090478564817
31,11.075790183904797
32,11.076775633395636
33,11.111494217611682
34,10.969240967218294
35,11.153100712931701
36,11.057575635765629
37,11.133158403720433
38,11.164504501122522
39,11.154222523009365
40,11.120671615781523
41,11.080787306327844
42,11.149233580189888
43,11.111597779993389
44,11.126051835302388
45,11.09262895730814
46,11.122043387991496
47,11.05873895992175
48,11.136982534438022
49,11.08546195721764
50,11.097929269310027
51,11.085453746356592
52,11.080819717027584
53,11.097901901653817
54,11.146786499855251
55,11.106464796855446
56,11.070567467350742
57,11.067950696681981
58,11.063655429432721
59,11.063704835399356
60,11.05880112625774
61,11.088137240345183
62,11.143500104483413
63,11.132094649239889
64,11.029381306700984
65,11.120694954519413
66,11.06367862329558
67,11.11158378502541
68,11.097882315875447
69,11.097857973355794
70,11.141399437579462
71,11.234732801437826
72,11.106436081339275
73,11.12419736603725
74,11.100853692098763
75,11.029448715164113
76,11.058780487916565
77,11.111593001862289
78,11.029471474401884
79,11.070491474673926
80,11.097889804555411
81,11.035541618355303
82,11.03554219440761
83,11.035626601585458
84,11.094261459787898
85,11.03571158481561
86,11.139465887310248
87,11.182201424795117
88,11.117731999581324
89,11.24087179915686
90,11.086865666784194
91,11.035701791926424
92,11.17242725345173
93,11.035535857832254
94,11.035578061421177
95,11.138290827907777
96,11.103983859851212
97,11.035619112905493
98,11.076657207425976
99,11.10404868125069
100,11.138230190645093
101,11.086935096602112
102,11.035600103179426
103,11.08698133255717
104,11.158722214846165
105,11.076682790354385
106,11.035596646865597
107,11.104014977019126
108,11.117683374560714
109,11.24086603863381
110,11.104027650169837
111,11.086945465543602
112,11.117693743502205
113,11.035524912838458
114,11.10402246569909
115,11.138192019422302
