ID,item_cnt_month
0,2.2735894
1,1.6216643
2,2.2735894
3,2.2735894
4,2.2735894
5,2.2735894
6,2.2735894
7,1.6216643
8,1.4820619
9,2.2735894
10,2.4398208
11,2.2735894
12,1.4820619
13,2.2735894
14,2.2735894
15,2.2735894
16,1.8962097
17,1.6216643
18,2.5794232
19,2.2735894
20,1.4820619
21,2.2735894
22,3.2536829
23,2.2735894
24,2.5794232
25,2.2735894
26,2.2735894
27,2.2735894
28,2.2735894
29,2.133987
30,2.2735894
31,2.2735894
32,2.2735894
33,3.6221862
34,2.2735894
35,2.2735894
36,2.2735894
37,3.6221862
38,1.7621721
39,1.7621721
40,1.7621721
41,2.5794232
42,2.5794232
43,2.5794232
44,1.6225697
45,1.7621721
46,1.7621721
47,1.7621721
48,1.7621721
49,1.7621721
50,1.7621721
51,1.7621721
52,1.6216643
53,1.7621721
54,2.5794232
55,2.5794232
56,2.2735894
57,2.2735894
58,3.6221862
59,2.2735894
60,3.6221862
61,2.2735894
62,2.2735894
63,2.5794232
64,2.5794232
65,1.6216643
66,2.2735894
67,2.2735894
68,3.6221862
69,2.2735894
70,1.6216643
71,2.2735894
72,2.2735894
73,2.5794232
74,2.5794232
75,2.2735894
76,1.6216643
77,2.5794232
78,2.2735894
79,2.2735894
80,2.5794232
81,2.2735894
82,2.2735894
83,2.2735894
84,2.2735894
85,2.2735894
86,2.2735894
87,1.4820619
88,2.5794232
89,2.5794232
90,2.2735894
91,2.2735894
92,2.5794232
93,3.6221862
94,2.2735894
95,1.4820619
96,2.2735894
97,2.2735894
98,2.2735894
99,3.6221862
100,2.2735894
101,2.2735894
102,2.2735894
103,2.2735894
104,2.2735894
105,1.6216643
106,1.6216643
107,2.2735894
108,1.4820619
109,1.6216643
110,2.2735894
111,2.2735894
112,2.2735894
113,2.2735894
114,2.2735894
115,2.2735894
116,1.4820619
117,1.6216643
118,1.8962097
119,1.7566073
120,1.7566073
121,1.7566073
122,1.7566073
123,1.7566073
124,1.8962097
125,1.8962097
126,1.8962097
127,1.4820619
128,1.6216643
129,1.6216643
130,1.8962097
131,1.4820619
132,2.5794232
133,2.5794232
134,1.7566073
135,1.6216643
136,1.6216643
137,1.6216643
138,1.6216643
139,1.6216643
140,1.4820619
141,1.4820619
142,1.4820619
143,1.6216643
144,1.7621721
145,1.7621721
146,1.7621721
147,1.6216643
148,1.6216643
149,1.7621721
150,1.6216643
151,1.4820619
152,2.2735894
153,1.4820619
154,1.6216643
155,1.4820619
156,1.6216643
157,1.6216643
158,1.6216643
159,1.6216643
160,1.4820619
161,1.4820619
162,1.6216643
163,1.7621721
164,1.6216643
165,1.4820619
166,1.4820619
167,1.4820619
168,1.6216643
169,1.4820619
170,1.4820619
171,1.4820619
172,1.6216643
173,2.5794232
174,2.5794232
175,2.2735894
176,2.4398208
177,1.4820619
178,1.6216643
179,1.4820619
180,1.6216643
181,1.6216643
182,1.6216643
183,1.6216643
184,1.4820619
185,1.4820619
186,1.4820619
187,1.6216643
188,1.6216643
189,1.6216643
190,2.5794232
191,2.5794232
192,1.6216643
193,2.2735894
194,2.5794232
195,2.2735894
196,2.2735894
197,2.5794232
198,2.5794232
199,2.2735894
200,2.5794232
201,2.2735894
202,2.2735894
203,2.2735894
204,2.2735894
205,2.2735894
206,2.2735894
207,2.2735894
208,2.5794232
209,2.5794232
210,2.5794232
211,1.4820619
212,1.4820619
213,1.6216643
214,2.2735894
215,2.5794232
216,2.4398208
217,2.4398208
218,2.5794232
219,2.5794232
220,2.2735894
221,2.5794232
222,2.2735894
223,2.2735894
224,2.2735894
225,2.2735894
226,2.2735894
227,2.2735894
228,2.5794232
229,1.6216643
230,2.5794232
231,2.2735894
232,2.2735894
233,2.5794232
234,2.2735894
235,2.133987
236,2.2735894
237,2.2735894
238,2.2735894
239,2.5794232
240,1.4820619
241,1.4820619
242,2.2735894
243,2.5794232
244,1.6216643
245,1.6216643
246,2.5794232
247,2.2735894
248,2.5794232
249,3.6221862
250,2.2735894
251,2.133987
252,2.5794232
253,2.2735894
254,2.2735894
255,2.2735894
256,1.6216643
257,1.4820619
258,1.7621721
259,1.4820619
260,1.6216643
261,1.4820619
262,1.6216643
263,1.6216643
264,1.6216643
265,2.2735894
266,1.6216643
267,1.6216643
268,1.6216643
269,1.6216643
270,1.6216643
271,1.4820619
272,1.6216643
273,1.6216643
274,4.4645834
275,1.4820619
276,1.6216643
277,1.7621721
278,1.6216643
279,1.6216643
280,1.6216643
281,1.6216643
282,1.8962097
283,1.6216643
284,1.6216643
285,1.6216643
286,1.6216643
287,1.6216643
288,1.6216643
289,1.6225697
290,1.6216643
291,1.6225697
292,1.6216643
293,1.6216643
294,1.6225697
295,1.6225697
296,1.6216643
297,1.6225697
298,1.4820619
299,1.6216643
300,1.4820619
301,2.5794232
302,2.2735894
303,2.2735894
304,2.2735894
305,1.4820619
306,1.4820619
307,1.6216643
308,1.4820619
309,1.4820619
310,1.6216643
311,1.6216643
312,1.6216643
313,1.6216643
314,1.6216643
315,1.7566073
316,1.8962097
317,1.6216643
318,1.4820619
319,1.4820619
320,1.6216643
321,1.4820619
322,1.4820619
323,1.4820619
324,1.4820619
325,1.4820619
326,1.4820619
327,1.6216643
328,1.6216643
329,1.6216643
330,1.6216643
331,1.6216643
332,1.4820619
333,1.4820619
334,1.6216643
335,1.6216643
336,1.7621721
337,1.7621721
338,1.7621721
339,1.6225697
340,1.4820619
341,2.2735894
342,1.4820619
343,1.4820619
344,1.6216643
345,1.6216643
346,2.4398208
347,2.4398208
348,1.6216643
349,1.4820619
350,2.2735894
351,2.2735894
352,1.6216643
353,2.2735894
354,1.6216643
355,2.2735894
356,2.2735894
357,2.2735894
358,1.4820619
359,2.2735894
360,2.2735894
361,2.5794232
362,2.2735894
363,1.4820619
364,2.5794232
365,1.4820619
366,1.4820619
367,1.4820619
368,1.6216643
369,1.7621721
370,1.7621721
371,1.6225697
372,1.7621721
373,1.6216643
374,1.6216643
375,1.6216643
376,1.6216643
377,1.6216643
378,1.6216643
379,1.6216643
380,2.5794232
381,1.4820619
382,1.4820619
383,1.4820619
384,1.4820619
385,1.4820619
386,1.4820619
387,1.6216643
388,1.4820619
389,1.4820619
390,1.6216643
391,1.6216643
392,2.5794232
393,2.5794232
394,1.6216643
395,1.6216643
396,2.5794232
397,2.5794232
398,2.2735894
399,2.2735894
400,1.6216643
401,1.6216643
402,2.5794232
403,2.2735894
404,2.2735894
405,2.2735894
406,2.2735894
407,2.2735894
408,1.4820619
409,2.2735894
410,1.6216643
411,2.5794232
412,2.2735894
413,3.6221862
414,2.2735894
415,2.5794232
416,2.2735894
417,2.2735894
418,2.5794232
419,1.6216643
420,1.6216643
421,1.6216643
422,2.2735894
423,2.2735894
424,2.2735894
425,2.2735894
426,2.2735894
427,1.6216643
428,2.5794232
429,2.2735894
430,2.2735894
431,2.2735894
432,1.6216643
433,2.5794232
434,2.2735894
435,2.5794232
436,1.6216643
437,2.2735894
438,1.6216643
439,1.4820619
440,2.2735894
441,2.2735894
442,2.2735894
443,2.2735894
444,2.2735894
445,2.133987
446,2.2735894
447,2.2735894
448,2.2735894
449,2.2735894
450,2.2735894
451,2.2735894
452,2.2735894
453,2.2735894
454,2.2735894
455,2.2735894
456,2.2735894
457,1.6216643
458,2.2735894
459,2.4398208
460,88.76386
461,1.6216643
462,1.4820619
463,1.4820619
464,1.4820619
465,1.4820619
466,1.6216643
467,1.4820619
468,1.4820619
469,1.4820619
470,1.6216643
471,1.7621721
472,1.6216643
473,1.6216643
474,1.4820619
475,1.4820619
476,1.6216643
477,1.4820619
478,1.7566073
479,1.4820619
480,1.8962097
481,1.8962097
482,1.8962097
483,1.8962097
484,1.8962097
485,1.8962097
486,1.8962097
487,1.8962097
488,1.8962097
489,1.8962097
490,1.8962097
491,1.8962097
492,1.8962097
493,1.7566073
494,1.6216643
495,1.8962097
496,1.4820619
497,2.5794232
498,2.2735894
499,2.2735894
500,2.5794232
501,2.5794232
502,2.2735894
503,1.8962097
504,2.2735894
505,2.2735894
506,2.2735894
507,1.6216643
508,2.2735894
509,2.2735894
510,1.6216643
511,1.6216643
512,1.6216643
513,1.6216643
514,2.2735894
515,2.5794232
516,1.6216643
517,2.2735894
